Player,National Team,National Team Country,Group,Position,Club Name,Club Town,Club Country,Raw Club Name,Same Country
Toby Alderweireld,Belgium,Belgium,G,Defender,Tottenham Hotspur,London,United Kingdom,Tottenham Hotspur,N
Dedryck Boyata,Belgium,Belgium,G,Defender,Celtic,Glasgow,United Kingdom,Celtic,N
Laurent Ciman,Belgium,Belgium,G,Defender,Los Angeles FC,Los Angeles,USA,Los Angeles FC,N
Christian Kabasele,Belgium,Belgium,G,Defender,Watford,Watford,United Kingdom,Watford,N
Vincent Kompnay,Belgium,Belgium,G,Defender,Manchester City,Manchester,United Kingdom,Manchester City,N
Jordan Lukaku,Belgium,Belgium,G,Defender,Lazio,Rome,Italy,Lazio,N
Thomas Meunier,Belgium,Belgium,G,Defender,Paris St Germain,Paris,France,Paris St-Germain,N
Thomas Vermaelen,Belgium,Belgium,G,Defender,Barcelona,Barcelona,Spain,Barcelona,N
Jan Vertonghen,Belgium,Belgium,G,Defender,Tottenham Hotspur,London,United Kingdom,tottenham Hotspur,N
Yannick Carrasco,Belgium,Belgium,G,Midfield,Dalian Yifang,Dalian,China,Dalian Yifang,N
Kevin de Bruyne,Belgium,Belgium,G,Midfield,Manchester City,Manchester,United Kingdom,Manchester City,N
Mousa Dembele,Belgium,Belgium,G,Midfield,Tottenham Hotspur,London,United Kingdom,Tottenham Hotspur,N
Leander Dendoncker,Belgium,Belgium,G,Midfield,Anderlecht,Anderlecht,Belgium,Anderlecht,Y
Marouane Fellaini,Belgium,Belgium,G,Midfield,Manchester United,Manchester,United Kingdom,Manchester United,N
Eden Hazard,Belgium,Belgium,G,Midfield,Chelsea,London,United Kingdom,Chelsea,N
Thorgan Hazard,Belgium,Belgium,G,Midfield,Borussia Monchengladbach,Monchengladbach,Germany,Borussia Monchengladbach,N
Adnan Januzaj,Belgium,Belgium,G,Midfield,Real Sociedad,San Sebastian,Spain,Real Sociedad,N
Dries Mertens,Belgium,Belgium,G,Midfield,Napoli,Naples,Italy,Napoli,N
Youri Tielemans,Belgium,Belgium,G,Midfield,Monaco,Monaco,Monaco,Monaco,N
Alex witsel,Belgium,Belgium,G,Midfield,Tianjin Quanjian,Tianjin,China,Tianjin Quanjian,N
Michy Batshuayi,Belgium,Belgium,G,Forward,Chelsea,London,United Kingdom,Chelsea,N
Christian Benteke,Belgium,Belgium,G,Forward,Crystal Palace,London,United Kingdom,Crystal Palace,N
Nacer Chadli,Belgium,Belgium,G,Forward,West Brom,West Bromwich,United Kingdom,West Brom,N
Romelu Lukaku,Belgium,Belgium,G,Forward,Manchester United,Manchester,United Kingdom,Manchester United,N
Jose Calderon,Panama,Panama,G,Goalkeeper,Chorrillo,Panama City,Panama,Chorrillo,Y
Jaime Penedo,Panama,Panama,G,Goalkeeper,Dinamo Bucharest,Bucharest,Romania,Dinamo Bucharest,N
Alex Rodriguez,Panama,Panama,G,Goalkeeper,San Francisco,San Francisco,USA,San Francisco,N
Azmahar Ariano,Panama,Panama,G,Defender,Patriotas,Tunja,Colombia,Patriots,N
Felipe Baloy,Panama,Panama,G,Defender,Municipal,Guatemala City,Guatemala,Municipal CSD,N
Harold Cummings,Panama,Panama,G,Defender,San Jose Earthquakes,San Jose,USA,San Jose Earthquakes,N
Eric Davis,Panama,Panama,G,Defender,Dunajska Streda,Dunajska Streda,Slovakia,Dunajska Streda,N
Fidel Escobar,Panama,Panama,G,Defender,New York Red Bulls,New York,USA,New York Red Bulls,N
Adolfo Machado,Panama,Panama,G,Defender,Houston Dynamo,Houston,USA,Houston Dynamo,N
Michael Murillo,Panama,Panama,G,Defender,New York Red Bulls,New York,USA,New York Red Bulls,N
Luis Ovalle,Panama,Panama,G,Defender,Olimpia,Asuncion,Paraguay,Olimpia,N
Francisco Palacios,Panama,Panama,G,Defender,San Francisco,San Francisco,USA,San Francisco,N
Richard Peralta,Panama,Panama,G,Defender,Alianza,Panama City,Panama,Alliance,Y
Roman Torres,Panama,Panama,G,Defender,Seattle Sounders,Seattle,USA,Seattle Sounders,N
Ricardo Avila,Panama,Panama,G,Midfield,Gent,Ghent,Belgium,Gent,N
Edgar Barcenas,Panama,Panama,G,Midfield,Cafetaleros de Tapachula,Tapachula,Mexico,Cafetaleros de Tapachula,N
Ricardo Buitrago,Panama,Panama,G,Midfield,Municipal,Guatemala City,Guatemala,Municipal,N
Miguel Camargo,Panama,Panama,G,Midfield,Universidad San Martin,Lima,Peru,Universidad San Martin,N
Adalberto Carrasquilla,Panama,Panama,G,Midfield,Tauro,Panama City,Panama,Tauro,Y
Armando Cooper,Panama,Panama,G,Midfield,Universidad de Chile,Santiago,Chile,Universidad de Chile,N
Anibal Godoy,Panama,Panama,G,Midfield,San Jose Earthquakes,San Jose,USA,San Jose Earthquakes,N
Gabriel Gomez,Panama,Panama,G,Midfield,Bucaramanga,Bucaramanga,Colombia,Bucaramanga,N
Jose Gonzalez,Panama,Panama,G,Midfield,Union Comercio,Nueva Cajamarca,Peru,Union Comercio,N
Cristian Martinez,Panama,Panama,G,Midfield,Columbus Crew,Columbus,USA,Columbus Crew,N
Valentin Pimentel,Panama,Panama,G,Midfield,Plaza Amador,Panama City,Panama,Plaza Amador,Y
Alberto Quintero,Panama,Panama,G,Midfield,Universitario,Lima,Peru,Universitario,N
Jose Luis Rodriguez,Panama,Panama,G,Midfield,Gent,Ghent,Belgium,Gent,N
Abdiel Arroyo,Panama,Panama,G,Forward,Alajuelense,Alajuela,Costa Rica,Alajuelense,N
Rolando Blackburn,Panama,Panama,G,Forward,Chorrillo,Panama City,Panama,Chorrillo,Y
Ismael Diaz,Panama,Panama,G,Forward,Deportivo La Coruna,A Coruna,Spain,Deportivo La Coruna,N
Jose Fajardo,Panama,Panama,G,Forward,Independiente,Buenos Aires,Argentina,Independiente,N
Roberto Nurse,Panama,Panama,G,Forward,Mineros Zacatecas,Zacatecas,Mexico,Mineros Zacatecas,N
Blas Perez,Panama,Panama,G,Forward,Municipal,Guatemala City,Guatemala,Municipal,N
Luis Tejada,Panama,Panama,G,Forward,Sports Boys,Callao,Peru,Sports Boys,N
Gabriel Torres,Panama,Panama,G,Forward,Huachipato,Talcahuano,Chile,CD Huachipato,N
Aymen Mathlouthi,Tunisia,Tunisia,G,Goalkeeper,Al-Baten,Hafar Al-Batin,Saudi Arabia,Al-Baten,N
Moez Ben Cherifia,Tunisia,Tunisia,G,Goalkeeper,ES Tunis,Tunis,Tunisia,ES Tunis,Y
Farouk Ben Mustapha,Tunisia,Tunisia,G,Goalkeeper,Al-Shabab,Riyadh,Saudi Arabia,Al-Shabab,N
Moez Hassen,Tunisia,Tunisia,G,Goalkeeper,Chateauroux,Chateauroux,France,Chateauroux,N
Rami Bedoui,Tunisia,Tunisia,G,Defender,ES Sahel,Sousse,Tunisia,ES Sahel,Y
Yohan Benalouane,Tunisia,Tunisia,G,Defender,Leicester,Leicester,United Kingdom,Leicester,N
Syam Ben Youssef,Tunisia,Tunisia,G,Defender,Kasimpasa,Istanbul,Turkey,Kasimpasa,N
Dylan Bronn,Tunisia,Tunisia,G,Defender,Gent,Ghent,Belgium,Gent,N
Khalil Chammam,Tunisia,Tunisia,G,Defender,ES Tunis,Tunis,Tunisia,ES Tunis,Y
Oussama Haddadi,Tunisia,Tunisia,G,Defender,Dijon,Dijon,France,Dijon,N
Ali Maaloul,Tunisia,Tunisia,G,Defender,Al-Ahly,Cairo,Egypt,Al-Ahly,N
Yassine Meriah,Tunisia,Tunisia,G,Defender,CS Sfaxien,Sfax,Tunisia,CS Sfaxien,Y
Hamdi Nagguez,Tunisia,Tunisia,G,Defender,Zamalek,Giza,Egypt,Zamalek,N
Bilel Mohsni,Tunisia,Tunisia,G,Defender,Dundee United,Dundee,United Kingdom,Dundee United,N
Mohamed Amine Ben Amor,Tunisia,Tunisia,G,Midfield,Etoile du Sahel,Sousse,Tunisia,Etoile du Sahel,Y
Sai-Eddine Khaoui,Tunisia,Tunisia,G,Midfield,Troyes,Troyes,France,Troyes,N
Ahmed Khalil,Tunisia,Tunisia,G,Midfield,Club Africain,Tunis,Tunisia,African Club,Y
Ellyes Skhiri,Tunisia,Tunisia,G,Midfield,Montpellier,Montpellier,France,Montpellier,N
Ferjani Sassi,Tunisia,Tunisia,G,Midfield,Al-Nasr,Dubai,UAE,Al-Nasr,N
Ghaylene Chaalali,Tunisia,Tunisia,G,Midfield,ES Tunis,Tunis,Tunisia,ES Tunis,Y
Mohamed Wael Larbi,Tunisia,Tunisia,G,Midfield,Tours,Tours,France,Tours,N
Karim Laribi,Tunisia,Tunisia,G,Midfield,Cesena,Cesena,Italy,Cesena,N
Anice Badri,Tunisia,Tunisia,G,Forward,ES Tunis,Tunis,Tunisia,ES Tunis,Y
Fakhreddine Ben Youssef,Tunisia,Tunisia,G,Forward,Al-Ettifaq,Dammam,Saudi Arabia,Al-Ittifaq,N
Naim Sliti,Tunisia,Tunisia,G,Forward,Dijon,Dijon,France,Dijon,N
Bassem Srarfi,Tunisia,Tunisia,G,Forward,Nice,Nice,France,Nice,N
Ahmed Akaichi,Tunisia,Tunisia,G,Forward,Al-Ittihad,Jeddah,Saudi Arabia,Al-Ittihad,N
Wahbi Khazri,Tunisia,Tunisia,G,Forward,Rennes,Rennes,France,Rennes,N
Saber Khalifa,Tunisia,Tunisia,G,Forward,Club Africain,Tunis,Tunisia,African Club,Y
Jack Butland,England,United Kingdom,G,Goalkeeper,Stoke City,Stoke-on-Trent,United Kingdom,Stoke,Y
Jordan Pickford,England,United Kingdom,G,Goalkeeper,Everton,Liverpool,United Kingdom,Everton,Y
Nick Pope,England,United Kingdom,G,Goalkeeper,Burnley,Burnley,United Kingdom,Burnley,Y
Trent Alexander-Arnold,England,United Kingdom,G,Defender,Liverpool,Liverpool,United Kingdom,Liverpool,Y
Gary Cahill,England,United Kingdom,G,Defender,Chelsea,London,United Kingdom,Chelsea,Y
Fabian Delph,England,United Kingdom,G,Defender,Manchester City,Manchester,United Kingdom,Manchester City,Y
Phil Jones,England,United Kingdom,G,Defender,Manchester United,Manchester,United Kingdom,Manchester United,Y
Harry Maguire,England,United Kingdom,G,Defender,Leicester,Leicester,United Kingdom,Leicester,Y
Danny Rose,England,United Kingdom,G,Defender,Tottenham Hotspur,London,United Kingdom,Tottenham,Y
John Stones,England,United Kingdom,G,Defender,Manchester City,Manchester,United Kingdom,Manchester City,Y
Kieran Trippier,England,United Kingdom,G,Defender,Tottenham Hotspur,London,United Kingdom,Tottenham,Y
Kyle Walker,England,United Kingdom,G,Defender,Manchester City,Manchester,United Kingdom,Manchester City,Y
Ashley Young,England,United Kingdom,G,Defender,Manchester United,Manchester,United Kingdom,Manchester United,Y
Dele Alli,England,United Kingdom,G,Midfield,Tottenham Hotspur,London,United Kingdom,Tottenham,Y
Eric Dier,England,United Kingdom,G,Midfield,Tottenham Hotspur,London,United Kingdom,Tottenham,Y
Jordan Henderson,England,United Kingdom,G,Midfield,Liverpool,Liverpool,United Kingdom,Liverpool,Y
Jesse Lingard,England,United Kingdom,G,Midfield,Manchester United,Manchester,United Kingdom,Manchester United,Y
Ruben Loftus-Cheek,England,United Kingdom,G,Midfield,Chelsea,London,United Kingdom,Chelsea,Y
Harry Kane,England,United Kingdom,G,Forward,Tottenham Hotspur,London,United Kingdom,Tottenham,Y
Marcus Rashford,England,United Kingdom,G,Forward,Manchester United,Manchester,United Kingdom,Manchester United,Y
Raheem Sterling,England,United Kingdom,G,Forward,Manchester City,Manchester,United Kingdom,Manchester City,Y
Jamie Vardy,England,United Kingdom,G,Forward,Leicester,Leicester,United Kingdom,Leicester,Y
Danny Welbeck,England,United Kingdom,G,Forward,Arsenal,London,United Kingdom,Arsenal,Y
Bartosz Bialkowski,Poland,Poland,H,Goalkeeper,Ipswich,Ipswich,United Kingdom,Ipswich,N
Lukasz Fabianski,Poland,Poland,H,Goalkeeper,Swansea City,Swansea,United Kingdom,Swansea City,N
Lukasz Skorupski,Poland,Poland,H,Goalkeeper,Roma,Rome,Italy,Roma,N
Wojciech Szczesny,Poland,Poland,H,Goalkeeper,Juventus,Turin,Italy,Juventus,N
Jan Bednarek,Poland,Poland,H,Defender,Southampton,Southampton,United Kingdom,Southampton,N
Bartosz Bereszynski,Poland,Poland,H,Defender,Sampdoria,Genoa,Italy,Sampdoria,N
Thiago Cionek,Poland,Poland,H,Defender,SPAL,Ferrara,Italy,SPAL,N
Kamil Glik,Poland,Poland,H,Defender,Monaco,Monaco,Monaco,Monaco,N
Artur Jedrzejczyk,Poland,Poland,H,Defender,Legia Warsaw,Warsaw,Poland,Legia Warsaw,Y
Marcin Kaminski,Poland,Poland,H,Defender,Stuttgart,Stuttgart,Germany,Stuttgart,N
Tomasz Kedziora,Poland,Poland,H,Defender,Dynamo Kyiv,Kiev,Ukraine,Dynamo Kyiv,N
Michal Pazdan,Poland,Poland,H,Defender,Legia Warsaw,Warsaw,Poland,Legia Warsaw,Y
Lukasz Piszczek,Poland,Poland,H,Defender,Borussia Dortmund,Dortmund,Germany,Borussia Dortmund,N
Jakub Blaszczykowski,Poland,Poland,H,Midfield,Wolfsburg,Wolfsburg,Germany,Wolfsburg,N
Pawel Dawidowicz,Poland,Poland,H,Midfield,Palermo,Palermo,Italy,Palermo,N
Przemyslaw Frankowski,Poland,Poland,H,Midfield,Jagiellonia Bialystok,Bialystok,Poland,Jagiellonia Bialystok,Y
Jacek Goralski,Poland,Poland,H,Midfield,Ludogorets Razgrad,Razgrad,Bulgaria,Ludogorets Razgrad,N
Kamil Grosicki,Poland,Poland,H,Midfield,Hull City,Hull,United Kingdom,Hull City,N
Grzegorz Krychowiak,Poland,Poland,H,Midfield,Paris St Germain,Paris,France,Paris St-Germain,N
Rafal Kurzawa,Poland,Poland,H,Midfield,Gornik Zabrze,Zabrze,Poland,Gornik Zabrze,Y
Karol Linetty,Poland,Poland,H,Midfield,Sampdoria,Genoa,Italy,Sampdoria,N
Krzysztof Maczynski,Poland,Poland,H,Midfield,Legia Warsaw,Warsaw,Poland,Legia Warsaw,Y
Slawomir Peszko,Poland,Poland,H,Midfield,Lechnia Gdansk,Gdansk,Poland,Lechnia Gdansk,Y
Maciej Rybus,Poland,Poland,H,Midfield,Lokomotiv Moscow,Moscow,Russia,Lokomotiv Moscow,N
Sebastian Szymanski,Poland,Poland,H,Midfield,Legia Warsaw,Warsaw,Poland,Legia Warsaw,Y
Piotr Zielinski,Poland,Poland,H,Midfield,Napoli,Naples,Italy,Napoli,N
Szymon Zurkowski,Poland,Poland,H,Midfield,Gornik Zabrze,Zabrze,Poland,Gornik Zabrze,Y
Dawid Kownacki,Poland,Poland,H,Forward,Sampdoria,Genoa,Italy,Sampdoria,N
Robert Lewandowski,Poland,Poland,H,Forward,Bayern Munich,Munich,Germany,Bayern Munich,N
Arkadiusz Milik,Poland,Poland,H,Forward,Napoli,Naples,Italy,Napoli,N
Lukasz Teodorczyk,Poland,Poland,H,Forward,Anderlecht,Anderlecht,Belgium,Anderlecht,N
Kamil Wilczek,Poland,Poland,H,Forward,Brondby,Copenhagen,Denmark,Brondby,N
Khadim Ndiaye,Senegal,Senegal,H,Goalkeeper,Horoya AC,Conakry,Guinea,Horoya AC,N
Abdoulaye Diallo,Senegal,Senegal,H,Goalkeeper,Rennes,Rennes,France,Rennes,N
Alfred Gomis,Senegal,Senegal,H,Goalkeeper,Torino,Turin,Italy,Torino,N
Kara Mbodji,Senegal,Senegal,H,Defender,Anderlecht,Anderlecht,Belgium,Anderlecht,N
Kalidou Koulibaly,Senegal,Senegal,H,Defender,Napoli,Naples,Italy,Napoli,N
Moussa Wague,Senegal,Senegal,H,Defender,Eupen,Eupen,Belgium,Eupen,N
Saliou Ciss,Senegal,Senegal,H,Defender,Angers,Angers,France,Angers,N
Youssouf Sabaly,Senegal,Senegal,H,Defender,Bordeaux,Bordeaux,France,Bordeaux,N
Lamine Gassama,Senegal,Senegal,H,Defender,Alanyaspor,Alanya,Turkey,Alanyaspor,N
Armand Traore,Senegal,Senegal,H,Defender,Nottingham Forest,Nottingham,United Kingdom,Nottingham Forest,N
Salif Sane,Senegal,Senegal,H,Defender,Hannover 96,Hannover,Germany,Hannover 96,N
Pape Alioune Ndiaye,Senegal,Senegal,H,Midfield,Stoke City,Stoke-on-Trent,United Kingdom,Stoke,N
Idrissa Gueye,Senegal,Senegal,H,Midfield,Everton,Liverpool,United Kingdom,Everton,N
Cheikhou Kouyate,Senegal,Senegal,H,Midfield,West Ham,London,United Kingdom,West Ham,N
Cheikh N'Doye,Senegal,Senegal,H,Midfield,Birmingham City,Birmingham,United Kingdom,Birmingham,N
Sadio Mane,Senegal,Senegal,H,Forward,Liverpool,Liverpool,United Kingdom,Liverpool,N
Diao Balde Keita,Senegal,Senegal,H,Forward,Monaco,Monaco,Monaco,Monaco,N
Ismaila Sarr,Senegal,Senegal,H,Forward,Rennes,Rennes,France,Rennes,N
Diafra Sakho,Senegal,Senegal,H,Forward,Rennes,Rennes,France,Rennes,N
Moussa Konate,Senegal,Senegal,H,Forward,Amiens,Amiens,France,Amiens,N
Mame Biram Diouf,Senegal,Senegal,H,Forward,Stoke City,Stoke-on-Trent,United Kingdom,Stoke,N
Mbaye Niang,Senegal,Senegal,H,Forward,AC Milan,Milan,Italy,AC Milan,N
David Ospina,Colombia,Colombia,H,Goalkeeper,Arsenal,London,United Kingdom,Arsenal,N
Camilo Vargas,Colombia,Colombia,H,Goalkeeper,Deportivo Cali,Cali,Colombia,Deportivo Cali,Y
Ivan Arboleda,Colombia,Colombia,H,Goalkeeper,Banfield,Buenos Aires,Argentina,Banfield,N
Jose Fernando Cuadrado,Colombia,Colombia,H,Goalkeeper,Once Caldas,Manizales,Colombia,Once Caldas,Y
Cristian Zapata,Colombia,Colombia,H,Defender,AC Milan,Milan,Italy,Milan,N
Davinson Sanchez,Colombia,Colombia,H,Defender,Tottenham Hotspur,London,United Kingdom,Tottenham,N
Santiago Arias,Colombia,Colombia,H,Defender,PSV Eindhoven,Eindhoven,Netherlands,PSV Eindhoven,N
Oscar Murillo,Colombia,Colombia,H,Defender,Pachuca,Pachuca,Mexico,Pachuca,N
Frank Fabra,Colombia,Colombia,H,Defender,Boca Juniors,Buenos Aires,Argentina,Boca Juniors,N
Johan Mojica,Colombia,Colombia,H,Defender,Girona,Girona,Spain,Girona,N
Yerry Mina,Colombia,Colombia,H,Defender,Barcelona,Barcelona,Spain,Barcelona,N
William Tesillo,Colombia,Colombia,H,Defender,Santa Fe,Bogota,Colombia,Santa Fe,Y
Bernardo Espinosa,Colombia,Colombia,H,Defender,Girona,Girona,Spain,Girona,N
Stefan Medina,Colombia,Colombia,H,Defender,Monterrey,Monterrey,Mexico,Monterrey,N
Farid Díaz,Colombia,Colombia,H,Defender,Olimpia,Asuncion,Paraguay,Olimpia,N
Wílmar Barrios,Colombia,Colombia,H,Midfield,Boca Juniors,Buenos Aires,Argentina,Boca Juniors,N
Carlos Sánchez,Colombia,Colombia,H,Midfield,Espanyol,Barcelona,Spain,Espanyol,N
Jefferson Lerma,Colombia,Colombia,H,Midfield,Levante,Valencia,Spain,Levante,N
Jose Izquierdo,Colombia,Colombia,H,Midfield,Brighton,Brighton,United Kingdom,Brighton,N
James Rodriguez,Colombia,Colombia,H,Midfield,Bayern Munich,Munich,Germany,Bayern Munich,N
Giovanni Moreno,Colombia,Colombia,H,Midfield,Shanghai Shenhua,Shanghai,China,Shanghai Shenhua,N
Abel Aguilar,Colombia,Colombia,H,Midfield,Deportivo Cali,Cali,Colombia,Deportivo Cali,Y
Mateus Uribe,Colombia,Colombia,H,Midfield,America,Mexico City,Mexico,America,N
Yimmi Chara,Colombia,Colombia,H,Midfield,Junior,Barranquilla,Colombia,Junior,Y
Juan Fernando Quintero,Colombia,Colombia,H,Midfield,River Plate,Buenos Aires,Argentina,River Plate,N
Edwin Cardona,Colombia,Colombia,H,Midfield,Boca Juniors,Buenos Aires,Argentina,Boca Juniors,N
Juan Cuadrado,Colombia,Colombia,H,Midfield,Juventus,Turin,Italy,Juventus,N
Gustavo Cuellar,Colombia,Colombia,H,Midfield,Flamengo,Rio de Janeiro,Brazil,Flamengo,N
Sebastian Perez,Colombia,Colombia,H,Midfield,Boca Juniors,Buenos Aires,Argentina,Boca Juniors,N
Radamel Falcao,Colombia,Colombia,H,Forward,Monaco,Monaco,Monaco,Monaco,N
Duvan Zapata,Colombia,Colombia,H,Forward,Sampdoria,Genoa,Italy,Sampdoria,N
Miguel Borja,Colombia,Colombia,H,Forward,Palmeiras,Sao Paulo,Brazil,Palmeiras,N
Carlos Bacca,Colombia,Colombia,H,Forward,Villarreal,Villarreal,Spain,Villarreal,N
Luis Fernando Muriel,Colombia,Colombia,H,Forward,Sevilla,Seville,Spain,Sevilla,N
Teofilo Gutierrez,Colombia,Colombia,H,Forward,Junior,Barranquilla,Colombia,Junior,Y
Eiji Kawashima,Japan,Japan,H,Goalkeeper,Metz,Metz,France,Metz,N
Masaaki Higashiguchi,Japan,Japan,H,Goalkeeper,Gamba Osaka,Osaka,Japan,Gamba Osaka,Y
Kosuke Nakamura,Japan,Japan,H,Goalkeeper,Kashiwa Reysol,Kashiwa,Japan,Kashiwa Reysol,Y
Yuto Nagatomo,Japan,Japan,H,Defender,Galatasaray,Istanbul,Turkey,Galatasaray,N
Tomoaki Makino,Japan,Japan,H,Defender,Urawa Reds,Saitama,Japan,Urawa Reds,Y
Wataru Endo,Japan,Japan,H,Defender,Urawa Reds,Saitama,Japan,Urawa Reds,Y
Maya Yoshida,Japan,Japan,H,Defender,Southampton,Southampton,United Kingdom,Southampton,N
Hiroki Sakai,Japan,Japan,H,Defender,Marseille,Marseille,France,Marseille,N
Gotoku Sakai,Japan,Japan,H,Defender,Hamburg,Hamburg,Germany,Hamburg,N
Gen Shoji,Japan,Japan,H,Defender,Kashima Antlers,Kashima,Japan,Kashima Antlers,Y
Naomichi Ueda,Japan,Japan,H,Defender,Kashima Antlers,Kashima,Japan,Kashima Antlers,Y
Makoto Hasebe,Japan,Japan,H,Midfield,Eintracht Frankfurt,Frankfurt,Germany,Eintracht Frankfurt,N
Toshihiro Aoyama,Japan,Japan,H,Midfield,Sanfrecce Hiroshima,Hiroshima,Japan,Sanfrecce Hiroshima,Y
Keisuke Honda,Japan,Japan,H,Midfield,Pachuca,Pachuca,Mexico,Pachuca,N
Takashi Inui,Japan,Japan,H,Midfield,Eibar,Eibar,Spain,Eibar,N
Shinji Kagawa,Japan,Japan,H,Midfield,Borussia Dortmund,Dortmund,Germany,Dortmund,N
Hotaru Yamaguchi,Japan,Japan,H,Midfield,Cerezo Osaka,Osaka,Japan,Cerezo Osaka,Y
Genki Haraguchi,Japan,Japan,H,Midfield,Fortuna Dusseldorf,Dusseldorf,Germany,Fortuna Dusseldorf,N
Takashi Usami,Japan,Japan,H,Midfield,Fortuna Dusseldorf,Dusseldorf,Germany,Fortuna Dusseldorf,N
Gaku Shibasaki,Japan,Japan,H,Midfield,Getafe,Madrid,Spain,Getafe,N
Ryota Oshima,Japan,Japan,H,Midfield,Kawasaki Frontale,Kawasaki,Japan,Kawasaki Frontale,Y
Kento Misao,Japan,Japan,H,Midfield,Kashima Antlers,Kashima,Japan,Kashima Antlers,Y
Yosuke Ideguchi,Japan,Japan,H,Midfield,Leonesa,Leon,Spain,Leonesa,N
Shinji Okazaki,Japan,Japan,H,Forward,Leicester,Leicester,United Kingdom,Leicester,N
Yuya Osako,Japan,Japan,H,Forward,Werder Bremen,Bremen,Germany,Werder Bremen,N
Yoshinori Muto,Japan,Japan,H,Forward,Mainz,Mainz,Germany,Mainz,N
Takuma Asano,Japan,Japan,H,Forward,Stuttgart,Stuttgart,Germany,Stuttgart,N
