objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
543,S14000010,Central Ayrshire,238948,628173,-4.55256987,55.5206604,237409470.11634,127451.01242213
544,S14000011,"Coatbridge, Chryston and Bellshill",269133,669782,-4.09475994,55.90328979,83437953.4477092,72937.6141575196
545,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",268306,677738,-4.1118598,55.97449875,190557458.560867,104171.026592364
546,S14000013,Dumfries and Galloway,252742,567858,-4.30275011,54.98348999,4150307263.14527,660757.878946683
547,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",305399,610681,-3.49460006,55.38095093,4376385519.78026,541265.898529311
548,S14000015,Dundee East,347896,736729,-2.8484199,56.51969147,158607244.063546,81867.5148755102
549,S14000016,Dundee West,333100,735387,-3.08850002,56.50576019,119791074.001647,64889.8314216026
555,S14000022,Edinburgh East,328720,672753,-3.14277005,55.9425087,26625689.0738877,28654.2175152699
564,S14000031,Glasgow North,256777,668773,-4.29167986,55.89072037,16857837.9641114,27265.3017886886
556,S14000023,Edinburgh North and Leith,324819,675786,-3.20605993,55.96915054,21158322.512509,28136.9301585677
563,S14000030,Glasgow East,265327,664585,-4.15299988,55.85557938,38720546.5257277,36792.6219054719
565,S14000032,Glasgow North East,261760,668310,-4.21184015,55.88801956,27741174.8923312,31414.1871679865
567,S14000034,Glasgow South,258684,660035,-4.25665998,55.81283188,26723970.1155258,35276.3221860006
568,S14000035,Glasgow South West,253614,663773,-4.33950996,55.84487915,26737479.3914096,31208.0447842726
569,S14000036,Glenrothes,328253,698904,-3.15725994,56.17734146,177856494.62853,83837.3724064643
570,S14000037,Gordon,370511,829595,-2.49175,57.35586166,1522821798.05074,328608.75983108
571,S14000038,Inverclyde,227922,670899,-4.75387001,55.90034866,173627531.946925,75384.9998182804
572,S14000039,"Inverness, Nairn, Badenoch and Strathspey",263458,814404,-4.26163006,57.19998932,4953315547.21431,450860.446798006
573,S14000040,Kilmarnock and Loudoun,255398,633167,-4.2948699,55.57064056,701807333.021913,217200.340822407
574,S14000041,Kirkcaldy and Cowdenbeath,322259,690504,-3.2513299,56.10094833,153828015.137754,114888.530523472
575,S14000042,Lanark and Hamilton East,290722,650833,-3.74201989,55.73851013,363535170.103158,146715.010595561
576,S14000043,Linlithgow and East Falkirk,292663,672963,-3.7198801,55.93769073,293992491.862012,136663.077079167
